Theft Year,State,Rank,Make/Model,Model Year,Thefts,
2015,Ohio,3,Ford Pickup (Full Size),2004,540,
2015,Ohio,4,Jeep Cherokee/Grand Cherokee,2000,467,
2015,Ohio,5,Chevrolet Impala,2007,441,
2015,Ohio,6,Honda Accord,1997,437,
2015,Ohio,7,Chevrolet Malibu,2015,343,
2015,Ohio,8,Honda Civic,2000,325,
2015,Ohio,9,Toyota Camry,2014,308,
2015,Ohio,10,Dodge Pickup (Full Size),2005,297,
2015,Oklahoma,1,Chevrolet Pickup (Full Size),1994,"1,143",
2015,Oklahoma,2,Ford Pickup (Full Size),2004,780,
2015,Oklahoma,3,Dodge Pickup (Full Size),2001,419,
2015,Oklahoma,4,GMC Pickup (Full Size),1994,304,
2015,Oklahoma,5,Honda Civic,1998,292,
2015,Oklahoma,6,Honda Accord,1996,269,
2015,Oklahoma,7,Chevrolet Impala,2005,181,
2015,Oklahoma,8,Chevrolet Pickup (Small Size),1998,127,
2015,Oklahoma,9,Ford Explorer,2002,123,
2015,Oklahoma,10,Chevrolet Malibu,2009,119,
2015,Oregon,1,Honda Accord,1994,"1,491",
2015,Oregon,2,Honda Civic,1998,"1,276",
2015,Oregon,3,Subaru Legacy,1998,377,
2015,Oregon,4,Ford Pickup (Full Size),2004,295,
2015,Oregon,5,Toyota Camry,1990,221,
2015,Oregon,6,Chevrolet Pickup (Full Size),1999,217,
2015,Oregon,7,Acura Integra,1994,209,
2015,Oregon,8,Subaru Impreza,1999,171,
2015,Oregon,9,Honda CR-V,1999,158,
2015,Oregon,10,Jeep Cherokee/Grand Cherokee,1994,141,
2015,Pennsylvania,1,Honda Accord,1997,544,
2015,Pennsylvania,2,Honda Civic,1998,539,
2015,Pennsylvania,3,Ford Pickup (Full Size),2006,303,
2015,Pennsylvania,4,Toyota Camry,2014,269,
2015,Pennsylvania,5,Nissan Altima,2015,261,
2015,Pennsylvania,6,Chevrolet Impala,2006,224,
2015,Pennsylvania,7,Toyota Corolla,2014,210,
2015,Pennsylvania,8,Chevrolet Pickup (Full Size),2003,203,
2015,Pennsylvania,9,Jeep Cherokee/Grand Cherokee,1999,188,
2015,Pennsylvania,10,Chevrolet Malibu,2015,159,
2015,Rhode Island,1,Honda Accord,1997,101,
2015,Rhode Island,2,Honda Civic,1998,95,
2015,Rhode Island,3,Toyota Camry,2014,69,
2015,Rhode Island,4,Nissan Maxima,2000,45,
2015,Rhode Island,5,Toyota Corolla,2014,40,
2015,Rhode Island,6,Nissan Altima,2013,38,
2015,Rhode Island,7,Ford Pickup (Full Size),2003,36,
2015,Rhode Island,8,Jeep Cherokee/Grand Cherokee,1999,32,
2015,Rhode Island,9,Honda CR-V,1999,27,
2015,Rhode Island,10,Toyota Avalon,2000,18,
2015,South Carolina,1,Ford Pickup (Full Size),2006,586,
2015,South Carolina,2,Honda Accord,1996,458,
2015,South Carolina,3,Chevrolet Pickup (Full Size),2004,455,
2015,South Carolina,4,Ford Crown Victoria,2003,210,
2015,South Carolina,5,Toyota Camry,2014,183,
2015,South Carolina,6,Honda Civic,2000,176,
2015,South Carolina,7,Dodge Pickup (Full Size),2001,172,
2015,South Carolina,8,Chevrolet Impala,2008,166,
2015,South Carolina,9,Nissan Altima,2015,155,
2015,South Carolina,10,Ford Explorer,2002,146,
2015,South Dakota,1,Chevrolet Pickup (Full Size),1994,52,
2015,South Dakota,2,Ford Pickup (Full Size),2001,47,
2015,South Dakota,3,Chevrolet Impala,2004,24,
2015,South Dakota,4,Dodge Pickup (Full Size),2001,23,
2015,South Dakota,4,Honda Civic,1996,23,
2015,South Dakota,5,GMC Pickup (Full Size),1994,22,
2015,South Dakota,6,Chevrolet Malibu,2003,20,
2015,South Dakota,7,Chevrolet Pickup (Small Size),1997,17,
2015,South Dakota,7,Ford Taurus,2006,17,
2015,South Dakota,7,Jeep Cherokee/Grand Cherokee,1999,17,
2015,Tennessee,1,Chevrolet Pickup (Full Size),1997,693,
2015,Tennessee,2,Ford Pickup (Full Size),2004,468,
2015,Tennessee,3,Honda Accord,1996,267,
2015,Tennessee,4,Nissan Altima,2005,215,
2015,Tennessee,5,Chevrolet Impala,2007,213,
2015,Tennessee,6,GMC Pickup (Full Size),1996,201,
2015,Tennessee,7,Honda Civic,2000,198,
2015,Tennessee,8,Nissan Maxima,1997,188,
2015,Tennessee,8,Toyota Camry,2007,188,
2015,Tennessee,9,Jeep Cherokee/Grand Cherokee,2000,178,
2015,Texas,1,Ford Pickup (Full Size),2006,"7,897",
2015,Texas,2,Chevrolet Pickup (Full Size),2004,"6,158",
2015,Texas,3,Dodge Pickup (Full Size),2004,"2,898",
2015,Texas,4,Honda Accord,1997,"1,626",
2015,Texas,5,GMC Pickup (Full Size),2015,"1,450",
2015,Texas,6,Honda Civic,2000,"1,371",
2015,Texas,7,Chevrolet Tahoe,2004,"1,148",
2015,Texas,8,Toyota Camry,2014,"1,030",
2015,Texas,9,Nissan Altima,2012,957,
2015,Texas,10,Chevrolet Impala,2007,898,
2015,Utah,1,Honda Accord,1997,938,
2015,Utah,2,Honda Civic,1998,915,
2015,Utah,3,Subaru Legacy,1996,262,
2015,Utah,4,Ford Pickup (Full Size),2006,238,
2015,Utah,5,Chevrolet Pickup (Full Size),2004,225,
2015,Utah,6,Dodge Pickup (Full Size),2012,117,
2015,Utah,7,Subaru Impreza,1997,106,
2015,Utah,8,Acura Integra,1995,103,
2015,Utah,9,Jeep Cherokee/Grand Cherokee,1996,102,
2015,Utah,10,Nissan Altima,1997,97,
2015,Vermont,1,Chevrolet Pickup (Full Size),2001,15,
2015,Vermont,2,Ford Pickup (Full Size),2010,8,
2015,Vermont,2,Honda Accord,2002,8,
2015,Vermont,3,Hyundai Elantra,2015,7,
2015,Vermont,4,Honda Civic,2005,6,
2015,Vermont,4,Subaru Legacy,1999,6,
2015,Vermont,5,Ford Pickup (Small Size),2002,5,
2015,Vermont,5,GMC Pickup (Full Size),2007,5,
2015,Vermont,5,Nissan Sentra,2012,5,
2015,Vermont,5,Subaru Impreza,2002,5,
2015,Virginia,1,Honda Accord,2002,266,
2015,Virginia,2,Ford Pickup (Full Size),2004,205,
2015,Virginia,3,Honda Civic,2013,200,
2015,Virginia,4,Toyota Camry,2014,181,
2015,Virginia,5,Nissan Altima,2015,162,
2015,Virginia,6,Chevrolet Pickup (Full Size),2003,144,
2015,Virginia,7,Toyota Corolla,2013,140,
